Meter_ID,Building_Name,Start_Date,End_Date,Usage_Quantity,Usage_Units,Total_Cost,Currency,Quality
MTR-1001,Munich Manufacturing Plant,2024-01-15,2024-02-14,45230,kWh,9046.00,EUR,A
MTR-1001,Munich Manufacturing Plant,2024-02-15,2024-03-14,42180,kWh,8436.00,EUR,A
MTR-1001,Munich Manufacturing Plant,2024-03-15,2024-04-14,38950,kWh,7790.00,EUR,A
MTR-1001,Munich Manufacturing Plant,2024-04-15,2024-05-14,35420,kWh,7084.00,EUR,A
MTR-1001,Munich Manufacturing Plant,2024-05-15,2024-06-14,33100,kWh,6620.00,EUR,A
MTR-1001,Munich Manufacturing Plant,2024-06-15,2024-07-14,36800,kWh,7360.00,EUR,E
MTR-1002,Munich Manufacturing Plant - Annex,2024-01-15,2024-02-14,12450,kWh,2490.00,EUR,A
MTR-1002,Munich Manufacturing Plant - Annex,2024-02-15,2024-03-14,11980,kWh,2396.00,EUR,A
MTR-1002,Munich Manufacturing Plant - Annex,2024-03-15,2024-04-14,10200,kWh,2040.00,EUR,A
MTR-1002,Munich Manufacturing Plant - Annex,2024-04-15,2024-05-14,9850,kWh,1970.00,EUR,A
MTR-1002,Munich Manufacturing Plant - Annex,2024-05-15,2024-06-14,9200,kWh,1840.00,EUR,E
MTR-1002,Munich Manufacturing Plant - Annex,2024-06-15,2024-07-14,10100,kWh,2020.00,EUR,A
MTR-2001,Frankfurt Distribution Center,2024-01-01,2024-01-31,28500,kWh,5700.00,EUR,A
MTR-2001,Frankfurt Distribution Center,2024-02-01,2024-02-29,26200,kWh,5240.00,EUR,A
MTR-2001,Frankfurt Distribution Center,2024-03-01,2024-03-31,24800,kWh,4960.00,EUR,A
MTR-2001,Frankfurt Distribution Center,2024-04-01,2024-04-30,22100,kWh,4420.00,EUR,A
MTR-2001,Frankfurt Distribution Center,2024-05-01,2024-05-31,21500,kWh,4300.00,EUR,A
MTR-2001,Frankfurt Distribution Center,2024-06-01,2024-06-30,23400,kWh,4680.00,EUR,A
MTR-3001,Hamburg Port Facility,2024-01-20,2024-02-19,18.5,MWh,3700.00,EUR,A
MTR-3001,Hamburg Port Facility,2024-02-20,2024-03-19,17.2,MWh,3440.00,EUR,A
MTR-3001,Hamburg Port Facility,2024-03-20,2024-04-19,15.8,MWh,3160.00,EUR,A
