Bestellnummer;Position;Materialnummer;Bezeichnung;Werk;Menge;Mengeneinheit;Nettopreis;Währung;Belegdatum;Lieferant
4500017832;00010;FUEL-DSL-001;Diesel Fuel Ultra Low Sulfur;PL01;5000,000;L;4250,00;EUR;15.01.2024;Shell Deutschland GmbH
4500017832;00020;FUEL-DSL-001;Diesel Fuel Ultra Low Sulfur;PL01;3200,000;L;2720,00;EUR;15.01.2024;Shell Deutschland GmbH
4500017833;00010;FUEL-GAS-002;Unleaded Petrol E10;PL01;1800,000;L;2880,00;EUR;22.01.2024;TotalEnergies DE
4500017890;00010;FUEL-DSL-001;Diesel Kraftstoff;PL02;12000,000;L;10200,00;EUR;03.02.2024;Aral AG
4500017890;00020;FUEL-GAS-002;Benzin Bleifrei;PL02;4500,000;L;7200,00;EUR;03.02.2024;Aral AG
4500017891;00010;FUEL-DSL-001;Diesel Fuel Ultra Low Sulfur;PL03;8500,000;L;7225,00;EUR;14.02.2024;Shell Deutschland GmbH
4500017950;00010;FUEL-GAS-002;Unleaded Petrol E10;PL01;2200,000;L;3520,00;EUR;28.02.2024;TotalEnergies DE
4500017951;00010;FUEL-DSL-001;Diesel Fuel Ultra Low Sulfur;PL02;6500,000;L;5525,00;EUR;05.03.2024;Aral AG
4500017952;00010;FUEL-DSL-001;Diesel Kraftstoff ULSD;PL03;9200,000;L;7820,00;EUR;12.03.2024;Shell Deutschland GmbH
4500017953;00010;FUEL-GAS-002;Benzin Bleifrei Super;PL01;1500,000;L;2400,00;EUR;18.03.2024;TotalEnergies DE
4500018001;00010;FUEL-DSL-001;Diesel Fuel Ultra Low Sulfur;PL01;4800,000;L;4080,00;EUR;02.04.2024;Shell Deutschland GmbH
4500018002;00010;FUEL-DSL-001;Diesel Fuel Ultra Low Sulfur;PL02;7300,000;L;6205,00;EUR;10.04.2024;Aral AG
4500018003;00010;FUEL-GAS-002;Unleaded Petrol E10;PL03;3100,000;L;4960,00;EUR;15.04.2024;TotalEnergies DE
4500018004;00010;FUEL-DSL-001;Diesel Kraftstoff;PL01;5500,000;L;4675,00;EUR;25.04.2024;Shell Deutschland GmbH
4500018050;00010;FUEL-DSL-001;Diesel Fuel Ultra Low Sulfur;PL02;11000,000;L;9350,00;EUR;03.05.2024;Aral AG
4500018050;00020;FUEL-GAS-002;Benzin Bleifrei;PL02;2800,000;L;4480,00;EUR;03.05.2024;Aral AG
4500018051;00010;FUEL-DSL-001;Diesel Fuel Ultra Low Sulfur;PL03;7800,000;L;6630,00;EUR;14.05.2024;Shell Deutschland GmbH
4500018052;00010;FUEL-GAS-002;Unleaded Petrol E10;PL01;1900,000;L;3040,00;EUR;22.05.2024;TotalEnergies DE
4500018053;00010;FUEL-DSL-001;Diesel Fuel Ultra Low Sulfur;PL01;6200,000;L;5270,00;EUR;30.05.2024;Shell Deutschland GmbH
4500018100;00010;FUEL-DSL-001;Diesel Kraftstoff;PL02;8900,000;L;7565,00;EUR;05.06.2024;Aral AG
4500018100;00020;LUB-OIL-100;Hydrauliköl AW46;PL02;200,000;GAL;;EUR;05.06.2024;Aral AG
4500018101;00010;FUEL-GAS-002;Unleaded Petrol E10;PL03;2600,000;L;4160,00;EUR;12.06.2024;TotalEnergies DE
4500018102;00010;FUEL-DSL-001;Diesel Fuel Ultra Low Sulfur;PL01;5800,000;L;4930,00;EUR;20.06.2024;Shell Deutschland GmbH
4500018103;00010;FUEL-DSL-001;Diesel Fuel Ultra Low Sulfur;PL03;10500,000;L;8925,00;EUR;28.06.2024;Shell Deutschland GmbH
4500018104;00010;FUEL-GAS-002;Benzin Bleifrei Super E5;PL01;2100,000;L;3360,00;EUR;30.06.2024;TotalEnergies DE
